,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
38923,0,0.571372848,66,0,0.430619946,9274.0,10,0,1,0,0.0
120369,0,0.233999378,56,0,0.257380237,5656.0,12,0,0,0,0.0
76149,0,0.299270073,33,0,0.114574558,4747.0,8,0,0,0,3.0
34729,0,0.032165093,41,0,0.308326463,8490.0,8,0,1,0,0.0
54377,0,0.050590886,36,0,0.862627475,3333.0,8,0,2,0,0.0
103117,0,0.060096337,67,0,0.237985577,16500.0,16,0,2,0,0.0
36521,0,0.786790593,33,1,0.122313317,4512.0,3,0,0,0,1.0
119587,0,0.546718373,84,2,0.583657588,4625.0,7,0,4,0,0.0
145366,0,0.90518435,57,0,0.631827297,8476.0,8,0,2,0,1.0
45701,0,0.388584885,66,0,0.645362432,2565.0,8,0,1,0,1.0
114840,0,0.9999999,23,0,0.0,898.0,1,0,0,0,0.0
66068,0,0.180574235,55,0,0.535066982,3806.0,6,0,1,0,0.0
26474,0,0.64740455,82,0,0.293696635,15927.0,13,0,2,0,0.0
54675,0,0.521370387,42,0,0.467913841,13416.0,10,0,2,0,2.0
30585,0,0.619818027,59,0,0.375466191,12333.0,14,0,1,0,0.0
80188,0,0.138793757,62,0,0.197600686,5834.0,5,0,1,0,0.0
56336,0,0.0,70,0,0.319810385,9070.0,9,0,2,0,0.0
48240,0,0.155012545,49,0,0.321617616,4722.0,6,0,1,0,0.0
80559,0,0.9999999,26,0,0.050526885,3700.0,2,0,0,0,0.0
109881,0,0.0313301,63,0,0.466963449,4267.0,24,0,2,0,0.0
37709,0,0.375046417,42,2,0.428960964,6967.0,12,0,1,0,2.0
42883,0,0.139370786,54,0,0.160861444,9100.0,10,0,0,0,2.0
107173,0,0.00234245,45,0,1.027992535,3750.0,6,0,1,0,2.0
60684,0,0.368721714,55,0,0.358210526,9499.0,25,0,2,0,0.0
129001,0,0.257603595,57,0,0.313247307,8446.0,25,0,3,0,2.0
47260,0,0.552222389,51,0,0.422300635,7084.0,8,0,2,0,1.0
135151,0,0.010506916,80,0,0.014992504,2000.0,5,0,0,0,0.0
137334,0,0.446215139,40,1,373.0,0.0,3,0,0,0,3.0
53707,0,0.891394464,33,1,0.046999478,90000.0,11,0,2,0,2.0
66939,0,0.055857581,64,0,0.064249276,7252.0,7,0,1,0,0.0
52008,0,0.014284014,54,0,0.272366221,4783.0,4,0,1,0,2.0
61395,0,0.0,36,0,0.0,1300.0,1,0,0,0,1.0
5960,0,0.178570536,42,0,0.518827058,3000.0,7,0,1,0,0.0
79284,0,0.00187329,64,0,0.062456734,13000.0,13,0,1,0,0.0
7671,0,0.939890225,40,3,0.924614744,2400.0,15,0,0,1,3.0
113147,0,0.471796594,52,0,0.680066573,7810.0,11,1,2,0,0.0
91489,0,0.9999999,32,0,0.128749579,2966.0,1,0,0,0,0.0
30125,0,0.0,40,0,0.383074702,5541.0,10,0,1,0,1.0
91228,0,0.044045522,57,0,0.12407802,6100.0,5,0,0,0,0.0
136360,0,0.415528157,27,0,19.5,1.0,1,0,0,0,0.0
28103,0,0.63503264,37,0,0.468539907,5800.0,4,0,1,0,1.0
132312,0,0.145949847,39,0,0.086152308,6000.0,10,0,0,0,2.0
132650,0,0.766946087,45,0,0.058761249,17000.0,6,0,0,0,3.0
92771,0,0.043919698,41,0,0.117306681,1900.0,8,0,0,0,0.0
131545,0,0.568402872,47,0,0.348756103,4300.0,5,0,1,0,3.0
100835,0,0.064809124,80,0,0.232291338,9500.0,14,0,1,0,0.0
52624,0,0.892712368,48,4,0.122905632,9250.0,11,0,0,2,2.0
556,0,0.0,27,0,0.0,4500.0,5,0,0,0,0.0
15357,0,0.021667452,41,1,0.155838455,6833.0,11,0,1,0,1.0
124560,0,0.549776335,43,0,0.477002706,8500.0,7,0,2,0,2.0
80989,0,0.002057025,61,0,0.000171409,5833.0,3,0,0,0,2.0
